epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8842856884002686,4.999999873689376e-05,0.11442859470844269,0.9222221970558167,0.06650857627391815
1,0.9080952405929565,4.999999873689376e-05,0.07912465929985046,0.9311110973358154,0.06460016965866089
2,0.9190475940704346,4.999999873689376e-05,0.07167493551969528,0.9244444370269775,0.06486020237207413
3,0.9190475940704346,4.999999873689376e-05,0.08623494952917099,0.9377777576446533,0.05509879067540169
4,0.9323809742927551,4.999999873689376e-05,0.05660650506615639,0.9333333373069763,0.051180869340896606
5,0.9428571462631226,4.999999873689376e-05,0.050585683435201645,0.9422222375869751,0.05268091335892677
6,0.9376190304756165,4.999999873689376e-05,0.05001010745763779,0.9333333373069763,0.05491083487868309
7,0.9366666674613953,4.999999873689376e-05,0.053026001900434494,0.9377777576446533,0.049013156443834305
8,0.9466666579246521,4.999999873689376e-05,0.050364818423986435,0.9399999976158142,0.04993872717022896
9,0.9571428298950195,4.999999873689376e-05,0.038387224078178406,0.9444444179534912,0.04148425534367561
10,0.950952410697937,4.999999873689376e-05,0.043607454746961594,0.95333331823349,0.03993237763643265
11,0.95333331823349,4.999999873689376e-05,0.04003207013010979,0.9555555582046509,0.0369168221950531
12,0.9480952620506287,4.999999873689376e-05,0.04630482941865921,0.9511111378669739,0.03488076105713844
13,0.9585714340209961,4.999999873689376e-05,0.03600885346531868,0.95333331823349,0.03577038645744324
14,0.9633333086967468,4.999999873689376e-05,0.03297283500432968,0.9666666388511658,0.03429605811834335
